Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients
Cs,1,Sn,1,I,3
Cs,1,Sn,1,Br; I,0.3; 2.7
Cs,1,Sn,1,Br; I,1.5; 1.5
Cs,1,Sn,1,Br; I,2.7; 0.3
Cs,1,Sn,1,Br,3
Cs,1,Sn,1,I,3
Cs,1,Sn,1,Br; I,1; 2
Cs,1,Sn,1,Br; I,2; 1
Cs,1,Sn,1,Br,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,Br,3
MA,1,Pb,1,Br,3
MA,1,Pb,1,Br,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.51; 2.49
Cs; FA; GU; MA,0.05; 0.788; 0.032; 0.129,Pb,1,Br; I,0.51; 2.49
Cs; FA; GU; MA,0.05; 0.788; 0.065; 0.097,Pb,1,Br; I,0.51; 2.49
Cs; FA; GU; MA,0.05; 0.788; 0.097; 0.065,Pb,1,Br; I,0.51; 2.49
Cs; FA; GU; MA,0.05; 0.788; 0.129; 0.032,Pb,1,Br; I,0.51; 2.49
Cs; FA; GU,0.05; 0.788; 0.162,Pb,1,Br; I,0.51; 2.49
MA,1,Pb,1,I,3
MA,1,Pb,1,Br; I,0.09; 2.91
MA,1,Pb,1,Br; I,0.3; 2.7
MA,1,Pb,1,Br; I,0.6; 2.4
MA,1,Pb,1,Br; I,1.2; 1.8
MA,1,Pb,1,Br; I,1.8; 1.2
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55
FA; MA,0.85; 0.15,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.827; 0.123,Pb,1,Br; I,0.369; 2.631
Cs; FA; MA,0.05; 0.827; 0.123,Pb,1,Br; I,0.369; 2.631
Cs; FA; MA,0.05; 0.827; 0.123,Pb,1,Br; I,0.369; 2.631
Cs; FA; MA,0.05; 0.827; 0.123,Pb,1,Br; I,0.369; 2.631
Cs; FA; MA,0.05; 0.827; 0.123,Pb,1,Br; I,0.369; 2.631
Cs; FA; MA,0.05; 0.827; 0.123,Pb,1,Br; I,0.369; 2.631
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.3; 2.7
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.5; 2.5
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.5; 2.5
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.5; 2.5
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.5; 2.5
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
Cs,1,Pb,1,Br; I,0.45; 2.55
Cs,1,Pb,1,Br; I,0.45; 2.55
Cs,1,Pb,1,Br; I,0.45; 2.55
Cs,1,Pb,1,Br; I,0.45; 2.55
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
Cs,1,Sn,1,I,3
Cs,1,Sn,1,Br; I,0.5; 2.5
Cs,1,Sn,1,Br; I,0.6; 2.4
Cs,1,Sn,1,Br; I,2; 1
Cs,1,Sn,1,Br; I,2.5; 0.5
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
Cs,1,Pb,1,Br; I,1; 2
Cs,1,Pb,1,Br; I,1; 2
Cs,1,Pb,1,Br; I,1; 2
Cs,1,Pb,1,Br; I,1; 2
Cs,1,Pb,1,Br; I,1; 2
Cs,1,Pb,1,Br; I,1; 2
Ag; Cs,2; 1,Sb,2,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
